         Vardas             Pavarde     Galutinis(Vid.) / Galutinis(Med)
     Vardas9168         Pavarde9168             5.86667              6
     Vardas9169         Pavarde9169             3.30667            2.8
      Vardas917          Pavarde917             7.98667            8.2
     Vardas9170         Pavarde9170             5.61333            5.8
     Vardas9171         Pavarde9171             4.89333            4.6
     Vardas9172         Pavarde9172             3.77333            3.4
     Vardas9173         Pavarde9173                6.04            5.8
     Vardas9174         Pavarde9174             7.45333            7.4
     Vardas9175         Pavarde9175             2.94667              3
     Vardas9176         Pavarde9176             5.57333            5.6
     Vardas9177         Pavarde9177             4.98667            5.6
     Vardas9178         Pavarde9178                8.08            7.6
     Vardas9179         Pavarde9179             4.37333              4
      Vardas918          Pavarde918             5.41333            5.2
     Vardas9180         Pavarde9180                 6.2            6.2
     Vardas9181         Pavarde9181             4.94667              5
     Vardas9182         Pavarde9182             4.86667            4.6
     Vardas9183         Pavarde9183             2.22667            2.2
     Vardas9184         Pavarde9184             7.57333            7.6
     Vardas9185         Pavarde9185                7.36            7.2
     Vardas9186         Pavarde9186             6.54667            6.6
     Vardas9187         Pavarde9187                6.52            6.6
     Vardas9188         Pavarde9188             2.85333            2.8
     Vardas9189         Pavarde9189             3.74667            3.8
      Vardas919          Pavarde919             8.29333              8
     Vardas9190         Pavarde9190                   5            4.6
     Vardas9191         Pavarde9191             6.50667            6.4
     Vardas9192         Pavarde9192             4.45333            4.4
     Vardas9193         Pavarde9193             2.22667            1.8
     Vardas9194         Pavarde9194             3.05333              3
     Vardas9195         Pavarde9195                4.28            4.2
     Vardas9196         Pavarde9196             6.57333            6.6
     Vardas9197         Pavarde9197             5.62667            5.6
     Vardas9198         Pavarde9198             5.85333            5.4
     Vardas9199         Pavarde9199             6.93333            7.2
       Vardas92           Pavarde92                 7.2            7.6
      Vardas920          Pavarde920                 3.8            3.8
     Vardas9200         Pavarde9200             8.01333            8.2
     Vardas9201         Pavarde9201                7.84              8
     Vardas9202         Pavarde9202             4.65333            4.6
     Vardas9203         Pavarde9203             5.26667              5
     Vardas9204         Pavarde9204             7.77333            8.2
     Vardas9205         Pavarde9205                 7.4              7
     Vardas9206         Pavarde9206                6.88            6.8
     Vardas9207         Pavarde9207                7.88            7.8
     Vardas9208         Pavarde9208             7.90667            8.2
     Vardas9209         Pavarde9209             2.94667              3
      Vardas921          Pavarde921                3.04            2.8
     Vardas9210         Pavarde9210             7.50667            7.4
     Vardas9211         Pavarde9211             5.38667            5.2
     Vardas9212         Pavarde9212             2.70667            2.6
     Vardas9213         Pavarde9213             3.02667              3
     Vardas9214         Pavarde9214                4.48            4.8
